,0
1718,No
1719,No
1720,No
1721,No
1722,No
1723,Yes
1724,No
1725,No
1726,No
1727,No
1728,No
1729,No
1730,No
1731,No
1732,Yes
1733,No
1734,No
1735,No
1736,No
1737,Yes
1738,Yes
1739,Yes
1740,Yes
1741,Yes
1742,No
1743,No
1744,No
1745,Yes
1746,No
1747,No
1748,No
1749,Yes
1750,No
1751,Yes
1752,No
1753,No
1754,Yes
1755,No
1756,No
1757,Yes
1758,No
1759,No
1760,Yes
1761,Yes
1762,Yes
1763,No
1764,No
1765,No
1766,Yes
1767,Yes
1768,No
1769,No
1770,No
1771,No
1772,No
1773,No
1774,No
1775,No
1776,Yes
1777,No
1778,No
1779,No
1780,No
1781,No
1782,No
1783,Yes
1784,No
1785,Yes
1786,Yes
1787,No
1788,No
1789,Yes
1790,No
1791,No
1792,No
1793,No
1794,No
1795,No
1796,Yes
1797,No
1798,No
1799,Yes
1800,No
1801,No
1802,No
1803,No
1804,No
1805,No
1806,No
1807,Yes
1808,No
1809,No
1810,No
1811,No
1812,No
1813,No
1814,Yes
1815,Yes
1816,Yes
1817,No
1818,No
1819,No
1820,No
1821,No
1822,Yes
1823,Yes
1824,No
1825,No
1826,No
1827,No
1828,Yes
1829,No
1830,Yes
1831,No
1832,No
1833,No
1834,No
1835,No
1836,No
1837,No
1838,No
1839,No
1840,No
1841,No
1842,No
1843,No
1844,No
1845,No
1846,No
1847,Yes
1848,Yes
1849,Yes
1850,Yes
1851,No
1852,No
1853,Yes
1854,No
1855,No
1856,No
1857,No
1858,No
1859,No
1860,No
1861,No
1862,No
1863,Yes
1864,No
1865,No
1866,Yes
1867,No
1868,No
1869,No
1870,Yes
1871,No
1872,No
1873,Yes
1874,No
1875,Yes
1876,Yes
1877,Yes
1878,No
1879,No
1880,Yes
1881,Yes
1882,Yes
1883,No
1884,No
1885,No
1886,No
1887,No
1888,No
1889,No
1890,No
1891,No
1892,Yes
1893,No
1894,Yes
1895,Yes
1896,No
1897,No
1898,Yes
1899,No
1900,No
1901,No
1902,No
1903,No
1904,No
1905,No
1906,Yes
1907,No
1908,No
1909,No
1910,No
1911,Yes
1912,No
1913,No
1914,No
1915,Yes
1916,No
1917,No
1918,Yes
1919,No
1920,No
1921,No
1922,No
1923,Yes
1924,No
1925,Yes
1926,No
1927,No
1928,No
1929,Yes
1930,No
1931,No
1932,No
1933,No
1934,Yes
1935,No
1936,No
1937,No
1938,No
1939,No
1940,Yes
1941,No
1942,Yes
1943,No
1944,No
1945,Yes
1946,Yes
1947,No
1948,No
1949,No
1950,No
1951,No
1952,No
1953,No
1954,Yes
1955,No
1956,No
1957,No
1958,Yes
1959,No
1960,No
1961,Yes
1962,No
1963,Yes
1964,No
1965,No
1966,No
1967,No
1968,No
1969,No
1970,No
1971,No
1972,Yes
1973,No
1974,No
1975,Yes
1976,No
1977,No
1978,No
1979,No
1980,No
1981,No
1982,No
1983,No
1984,No
1985,No
1986,No
1987,Yes
1988,No
1989,No
1990,Yes
1991,Yes
1992,No
1993,No
1994,No
1995,Yes
1996,No
1997,No
1998,No
1999,Yes
2000,No
2001,No
2002,Yes
2003,Yes
2004,Yes
2005,No
2006,No
2007,No
2008,Yes
2009,Yes
2010,No
2011,No
2012,No
2013,Yes
2014,No
2015,Yes
2016,No
2017,Yes
2018,No
2019,Yes
2020,No
2021,No
2022,No
2023,No
2024,No
2025,Yes
2026,No
2027,No
2028,No
2029,No
2030,No
2031,No
2032,Yes
2033,No
2034,No
2035,No
2036,No
2037,No
2038,No
2039,No
2040,Yes
2041,No
2042,No
2043,No
2044,Yes
2045,No
2046,Yes
2047,No
2048,Yes
2049,No
2050,No
2051,Yes
2052,No
2053,No
2054,Yes
2055,No
2056,No
2057,No
2058,No
2059,Yes
2060,Yes
2061,Yes
2062,Yes
2063,Yes
2064,No
2065,No
2066,No
2067,Yes
2068,No
2069,No
2070,No
2071,No
2072,Yes
2073,No
2074,No
2075,No
2076,No
2077,No
2078,No
2079,Yes
2080,Yes
2081,No
2082,Yes
2083,No
2084,No
2085,No
2086,No
2087,No
2088,Yes
2089,Yes
2090,No
2091,Yes
2092,No
2093,Yes
2094,Yes
2095,No
2096,No
2097,No
2098,Yes
2099,No
2100,No
2101,Yes
2102,Yes
2103,No
2104,Yes
2105,No
2106,No
2107,No
2108,Yes
2109,No
2110,Yes
2111,Yes
2112,No
2113,No
2114,No
2115,No
2116,No
2117,No
2118,No
2119,No
2120,Yes
2121,Yes
2122,No
2123,No
2124,No
2125,Yes
2126,No
2127,No
2128,No
2129,Yes
2130,No
2131,No
2132,No
2133,No
2134,No
2135,No
2136,No
2137,No
2138,No
2139,No
2140,No
2141,No
2142,No
2143,No
2144,No
2145,No
2146,No
2147,Yes
2148,No
2149,No
2150,No
2151,Yes
2152,Yes
2153,Yes
2154,No
2155,No
2156,No
2157,No
2158,Yes
2159,Yes
2160,No
2161,No
2162,No
2163,No
2164,No
2165,No
2166,No
2167,No
2168,No
2169,No
2170,No
2171,No
2172,No
2173,Yes
2174,No
2175,No
2176,Yes
2177,Yes
2178,No
2179,No
2180,Yes
2181,No
2182,No
2183,Yes
2184,No
2185,No
2186,Yes
2187,Yes
2188,Yes
2189,Yes
2190,No
2191,No
2192,No
2193,No
2194,No
2195,Yes
2196,Yes
2197,No
2198,No
2199,No
2200,Yes
2201,Yes
2202,Yes
2203,No
2204,No
2205,No
2206,No
2207,Yes
2208,No
2209,No
2210,No
2211,No
2212,No
2213,Yes
2214,No
2215,No
2216,No
2217,No
2218,No
2219,Yes
2220,Yes
2221,No
2222,Yes
2223,No
2224,No
2225,Yes
2226,No
2227,No
2228,No
2229,No
2230,No
2231,No
2232,No
2233,No
2234,Yes
2235,No
2236,Yes
2237,No
2238,No
2239,No
2240,No
2241,No
2242,No
2243,No
2244,No
2245,No
2246,Yes
2247,Yes
2248,No
2249,No
2250,No
2251,Yes
2252,No
2253,No
2254,No
2255,No
2256,No
2257,No
2258,No
2259,No
2260,No
2261,No
2262,No
2263,No
2264,Yes
2265,No
2266,No
2267,No
2268,Yes
2269,No
2270,Yes
2271,Yes
2272,Yes
2273,No
2274,No
2275,No
2276,Yes
2277,No
2278,No
2279,Yes
2280,Yes
2281,No
2282,No
2283,No
2284,No
2285,No
2286,No
2287,Yes
2288,No
2289,Yes
2290,No
2291,No
2292,No
2293,No
2294,No
2295,Yes
2296,Yes
2297,No
2298,No
2299,No
2300,Yes
2301,No
2302,No
2303,No
2304,Yes
2305,Yes
2306,No
2307,No
2308,Yes
2309,No
2310,No
2311,No
2312,No
2313,No
2314,No
2315,No
2316,No
2317,No
2318,No
2319,No
2320,No
2321,No
2322,No
2323,Yes
2324,No
2325,No
2326,No
2327,No
2328,No
2329,No
2330,Yes
2331,Yes
2332,No
2333,Yes
2334,No
2335,No
2336,Yes
2337,No
2338,Yes
2339,No
2340,No
2341,No
2342,Yes
2343,Yes
2344,Yes
2345,No
2346,No
2347,No
2348,Yes
2349,No
2350,Yes
2351,No
2352,No
2353,No
2354,No
2355,No
2356,Yes
2357,No
2358,No
2359,No
2360,Yes
2361,No
2362,No
2363,No
2364,No
2365,No
2366,Yes
2367,No
2368,No
2369,Yes
2370,No
2371,Yes
2372,No
2373,Yes
2374,Yes
2375,Yes
2376,No
2377,No
2378,No
2379,No
2380,No
2381,No
2382,No
2383,No
2384,No
2385,Yes
2386,No
2387,No
2388,Yes
2389,No
2390,Yes
2391,No
2392,Yes
2393,No
2394,No
2395,Yes
2396,No
2397,No
2398,No
2399,No
2400,Yes
2401,No
2402,Yes
2403,No
2404,Yes
2405,No
2406,No
2407,No
2408,Yes
2409,No
2410,No
2411,No
2412,No
2413,No
2414,No
2415,No
2416,No
2417,No
2418,No
2419,Yes
2420,No
2421,No
2422,No
2423,No
2424,No
2425,Yes
2426,Yes
2427,Yes
2428,No
2429,No
2430,No
2431,No
2432,No
2433,Yes
2434,Yes
2435,No
2436,No
2437,Yes
2438,Yes
2439,No
2440,No
2441,Yes
2442,No
2443,Yes
2444,No
2445,No
2446,No
2447,No
2448,Yes
2449,No
2450,No
2451,No
2452,Yes
2453,No
2454,No
2455,No
2456,Yes
2457,No
2458,No
2459,Yes
2460,No
2461,No
2462,No
2463,No
2464,Yes
2465,No
2466,No
2467,No
2468,No
2469,No
2470,No
2471,No
2472,No
2473,Yes
2474,No
2475,No
2476,No
2477,No
2478,Yes
2479,No
2480,No
2481,Yes
2482,No
2483,Yes
2484,No
2485,No
2486,No
2487,No
2488,No
2489,No
2490,No
2491,No
2492,No
2493,No
2494,No
2495,No
2496,No
2497,Yes
2498,No
2499,No
2500,No
2501,Yes
2502,No
2503,Yes
2504,No
2505,Yes
2506,No
2507,Yes
2508,Yes
2509,No
2510,No
2511,No
2512,No
2513,No
2514,No
2515,No
2516,No
2517,No
2518,No
2519,No
2520,Yes
2521,Yes
2522,No
2523,No
2524,No
2525,No
2526,No
2527,No
2528,No
2529,No
2530,No
2531,No
2532,Yes
2533,Yes
2534,No
2535,Yes
2536,No
2537,No
2538,No
2539,No
2540,No
2541,No
2542,Yes
2543,No
2544,No
2545,No
2546,No
2547,Yes
2548,No
2549,Yes
2550,Yes
2551,No
2552,No
2553,No
2554,Yes
2555,No
2556,No
2557,No
2558,Yes
2559,No
2560,No
2561,No
2562,No
2563,No
2564,No
2565,Yes
2566,No
2567,Yes
2568,No
2569,No
2570,Yes
2571,No
2572,No
2573,Yes
2574,No
2575,No
2576,No
2577,No
2578,No
2579,No
2580,No
2581,No
2582,Yes
2583,No
2584,No
2585,Yes
2586,Yes
2587,No
2588,No
2589,Yes
2590,No
2591,Yes
2592,No
2593,Yes
2594,No
2595,No
2596,Yes
2597,No
2598,No
2599,Yes
2600,No
2601,No
2602,No
2603,Yes
2604,No
2605,Yes
2606,No
2607,Yes
2608,Yes
2609,Yes
2610,No
2611,No
2612,Yes
2613,No
2614,No
2615,Yes
2616,Yes
2617,No
2618,No
2619,No
2620,No
2621,Yes
2622,Yes
2623,Yes
2624,No
2625,No
2626,No
2627,No
2628,No
2629,No
2630,No
2631,Yes
2632,No
2633,No
2634,No
2635,Yes
2636,No
2637,Yes
2638,Yes
2639,No
2640,No
2641,No
2642,No
2643,No
2644,No
2645,Yes
2646,No
2647,No
2648,No
2649,No
2650,No
2651,Yes
2652,Yes
2653,No
2654,No
2655,No
2656,Yes
2657,Yes
2658,Yes
2659,Yes
2660,Yes
2661,No
2662,No
2663,No
2664,No
2665,No
2666,No
2667,Yes
2668,No
2669,No
2670,No
2671,Yes
2672,No
2673,No
2674,No
2675,Yes
2676,Yes
2677,No
2678,No
2679,No
2680,Yes
2681,No
2682,No
2683,No
2684,No
2685,No
2686,No
2687,No
2688,Yes
2689,No
2690,No
2691,Yes
2692,No
2693,No
2694,No
2695,No
2696,Yes
2697,No
2698,No
2699,No
2700,No
2701,No
2702,No
2703,No
2704,No
2705,No
2706,No
2707,Yes
